,Zone,State,City,Name,Type,Significance,Entrance Fee in INR,Google review rating,Weekly Off,Best DayTime to visit
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Natural Park,Environmental,500,4.4,None,All
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Temple,Religious,0,4.7,None,Morning
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,Historical,10,4.5,Monday,All
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Recreational,0,4.5,None,Morning
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Archaeological Site,Archaeological,20,4.5,None,Morning
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Environmental,0,4.6,None,Morning
286,North Eastern,Nagaland,Dzükou Valley,Dzakou Valley,Mountain,Environmental,0,4.7,None,Afternoon
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Recreational,0,4.5,None,Morning
288,Southern,Puducherry,Auroville,Auroville,Historic Building,Cultural,0,4.1,None,All
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Recreational,200,4.5,None,Morning
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Historic Building,Historical,30,4.7,Monday,Afternoon
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Recreational,0,4.8,None,Morning
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Recreational,0,4.5,None,Morning
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Archaeological Site,Archaeological,250,4.4,None,Morning
294,Western,Daman and Diu,Diu,Naida Caves,Archaeological Site,Archaeological,0,4.5,None,Afternoon
295,Western,Daman and Diu,Diu,Diu Fort,Fort,Historical,0,4.6,None,Afternoon
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Religious,0,4.7,None,All
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Religious,0,4.6,None,All
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,Religious,0,4.7,None,All
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Recreational,30,4.3,None,All
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Temple,Religious,0,4.7,None,All
301,Eastern,Bihar,Patna,Budhha Smriti Park,Garden,Religious,10,4.4,None,All
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Amusement Park,Recreational,1100,4.4,Monday,Afternoon
303,Northern,Haryana,Gurugram,Ambience Mall,Market,Recreational,0,4.6,None,Afternoon
304,Northern,Haryana,Gurugram,DLF CyberHub,Market,Recreational,0,4.7,None,Afternoon
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Temple,Religious,0,4.8,None,All
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Religious,0,4.8,None,All
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Market,Recreational,0,4.6,None,All
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Market,Recreational,0,4.2,None,All
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,Recreational,890,4.5,None,All
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,Recreational,50,4.4,Monday,Afternoon
311,Southern,Karnataka,Bengaluru,Orion Mall,Market,Recreational,0,4.5,None,All
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Market,Recreational,0,4.5,None,All
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,Religious,0,4.5,None,All
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Religious,0,4.7,None,All
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Amusement Park,Recreational,1500,4.6,Sunday,All
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Market,Recreational,0,4.6,None,All
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Market,Recreational,0,4.6,None,All
318,Northern,Delhi,New Delhi,Rail Museum,Museum,Educational,50,4.4,Monday,Morning
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Bridge,Environmental,0,4.6,None,Morning
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,Religious,0,4.6,Monday,All
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,Historical,40,4.5,None,Afternoon
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,Cultural,10,4.7,Monday,All
323,Northern,Rajasthan,Jaipur,City Palace,Palace,Historical,200,4.4,None,Morning
